Name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty
Björkbacksvägen 53,89.5,3,6210,2200000,24581,,,,
"Wollmar yxkullsgatan 18, vån 3",72.0,3,2174,7300000,101389,,,,
Vätterosvägen 15,158.0,7,,3150000,,,,,
Stagneliusgatan 22 C,63.5,2,3144,1400000,22047,,,,
Södra Bangårdsgatan 4A,101.0,3,6591,2550000,25248,,,,
Järpstigen 17,117.0,5,,15150000,,,,,
Fagottvägen 6,117.0,4,,3995000,,,,,
Järsnäs Norrgård 5,60.0,1,,1500000,,,,,
Nordhemsgatan 18A,70.0,2,3844,4800000,68571,,,,
Alingsåsvägen 88,162.0,6,,3575000,,,,,
Upplandsgatan 22,52.0,2,2379,6720000,129231,,,,
Strandliden 41,79.0,3,4262,3725000,47152,,,,
Mimersvägen 30,95.0,4,,5795000,,,,,
Fredrik Jahns Gränd 8,58.0,2,3450,3030000,52241,,,,
Packhusgatan 27,86.5,3,4918,3075000,35549,,,,
Pettersbergsvägen 4,53.5,2,3314,1795000,33551,,,,
Luthagsesplanaden 36A,44.0,"1,5",2898,1970000,44773,,,,
Ymsenvägen 8,70.0,3,3331,5650000,80714,,,,
Arvikagatan 31,27.0,1,1456,1710000,63333,,,,
Rålambsvägen 29,53.0,2,3341,4410000,83208,,,,
Gravensteinervägen 31,107.0,4,4826,2850000,26636,,,,
Fjällgatan 55C,54.5,2,4036,1150000,21101,,,,
Båstadsgatan 13,36.5,1,2748,1095000,30000,,,,
Viktoriagatan 11,72.0,"2,5",4388,2370000,32917,,,,
Räfsgatan 34,42.0,2,2788,1570000,37381,,,,
Stampgatan 68 A,63.0,2,3262,2900000,46032,,,,
Höja landsväg 361,54.0,+11,,950000,,,,,
"Gävlegatan 36B, 10 tr",32.0,2,2293,4400000,137500,,,,
"Slottsvägen 5, 2 tr",62.0,3,3643,3450000,55645,,,,
Kollegiegatan 9B,56.0,2,2934,960000,17143,,,,
Aspviksvägen 16N,110.0,5,5280,5287500,48068,,,,
Hässleberg Stockhult 532,135.0,6,,1875000,,,,,
"Tollarevägen 49, 4 tr",85.0,3,5294,5395000,63471,,,,
Kabelverksgatan 24,52.0,2,3307,3000000,57692,,,,
Ingvarshem 18,147.0,7,,4150000,,,,,
"Johan Enbergs väg 38B, 4tr",80.5,3,4394,4740000,58882,,,,
"Rådmansgatan  46, 4tr",27.0,"1,5",2406,2750000,101852,,,,
Fregattgatan 2A,65.0,3,3701,3350000,51538,,,,
Högsätravägen 21,91.3,5,5461,3795000,41566,,,,
Frestavägen 36,36.0,1,2276,1620000,45000,,,,
Kaprifolgatan 25,125.0,5,,2800000,,,,,
Sanduddsvägen 30,153.0,5,,8550000,,,,,
Sturegatan 1,34.0,1,2761,2075000,61029,,,,
Täppgränd 39,67.0,3,2725,3125000,46642,,,,
Haga Östergata 19,66.3,"2,5",2893,4490000,67722,,,,
Högalidsvägen 42C,81.0,3,5978,1725000,21296,,,,
Folketshusvägen 7,112.0,"4,5",7491,3950000,35268,,,,
Råbyvägen 34,39.0,"1,5",2721,1595000,40897,,,,
Östra Gräsvägen 5,26.0,1,1985,1800000,69231,,,,
"Sturehillsvägen 9, vån 14 / 14",105.0,4,5529,9600000,91429,,,,
Luleåvägen 371,89.0,3,6070,850000,9551,,,,
Tånvägen 8,195.0,6,,6800000,,,,,
Andebodavägen 26,103.0,5,6701,3250000,31553,,,,
Färgargränd 1,61.0,2,4039,730000,11967,,,,
Termikgatan 27A,50.5,2,4667,1600000,31683,,,,
Gustav III:s Boulevard 9 Vån 5 / 6,56.0,2,3377,2750000,49107,,,,
Utvägen 4E,128.0,5,5295,4600000,35938,,,,
Rimbogatan 2 B,109.9,5,4000,2045000,18608,,,,
Jakobs väg 33,64.0,2,3912,430000,6719,,,,
Götaforsvägen 3,55.0,2,4218,2700000,49091,,,,
Ringvägen 131,68.0,3,3496,6000000,88235,,,,
Drabantvägen 11,78.0,3,,2650000,,,,,
