,Name,Size,Room,Fee,Endprice,KvMPrice,Saledate,City,District,TypeOfProperty,Square_meter_price
0,Björkbacksvägen 53,89.5,3.0,6210.0,2200000.0,24581.0,0,0,,other,274.65
1,"Wollmar yxkullsgatan 18, vån 3",72.0,3.0,2174.0,7300000.0,101389.0,0,0,,other,1408.18
2,Vätterosvägen 15,158.0,7.0,0.0,3150000.0,0.0,0,0,,other,0.0
3,Stagneliusgatan 22 C,63.5,2.0,3144.0,1400000.0,22047.0,0,0,,other,347.2
4,Södra Bangårdsgatan 4A,101.0,3.0,6591.0,2550000.0,25248.0,0,0,,other,249.98
5,Järpstigen 17,117.0,5.0,0.0,15150000.0,0.0,0,0,,other,0.0
6,Fagottvägen 6,117.0,4.0,0.0,3995000.0,0.0,0,0,,other,0.0
7,Järsnäs Norrgård 5,60.0,1.0,0.0,1500000.0,0.0,0,0,,other,0.0
8,Nordhemsgatan 18A,70.0,2.0,3844.0,4800000.0,68571.0,0,0,,other,979.59
9,Alingsåsvägen 88,162.0,6.0,0.0,3575000.0,0.0,0,0,,other,0.0
10,Upplandsgatan 22,52.0,2.0,2379.0,6720000.0,129231.0,0,0,,other,2485.21
11,Strandliden 41,79.0,3.0,4262.0,3725000.0,47152.0,0,0,,other,596.86
12,Mimersvägen 30,95.0,4.0,0.0,5795000.0,0.0,0,0,,other,0.0
13,Fredrik Jahns Gränd 8,58.0,2.0,3450.0,3030000.0,52241.0,0,0,,other,900.71
14,Packhusgatan 27,86.5,3.0,4918.0,3075000.0,35549.0,0,0,,other,410.97
15,Pettersbergsvägen 4,53.5,2.0,3314.0,1795000.0,33551.0,0,0,,other,627.12
16,Luthagsesplanaden 36A,44.0,1.5,2898.0,1970000.0,44773.0,0,0,,other,1017.57
17,Ymsenvägen 8,70.0,3.0,3331.0,5650000.0,80714.0,0,0,,other,1153.06
18,Arvikagatan 31,27.0,1.0,1456.0,1710000.0,63333.0,0,0,,other,2345.67
19,Rålambsvägen 29,53.0,2.0,3341.0,4410000.0,83208.0,0,0,,other,1569.96
20,Gravensteinervägen 31,107.0,4.0,4826.0,2850000.0,26636.0,0,0,,other,248.93
21,Fjällgatan 55C,54.5,2.0,4036.0,1150000.0,21101.0,0,0,,other,387.17
22,Båstadsgatan 13,36.5,1.0,2748.0,1095000.0,30000.0,0,0,,other,821.92
23,Viktoriagatan 11,72.0,2.5,4388.0,2370000.0,32917.0,0,0,,other,457.18
24,Räfsgatan 34,42.0,2.0,2788.0,1570000.0,37381.0,0,0,,other,890.02
25,Stampgatan 68 A,63.0,2.0,3262.0,2900000.0,46032.0,0,0,,other,730.67
26,Höja landsväg 361,54.0,11.0,0.0,950000.0,0.0,0,0,,other,0.0
27,"Gävlegatan 36B, 10 tr",32.0,2.0,2293.0,4400000.0,137500.0,0,0,,other,4296.88
28,"Slottsvägen 5, 2 tr",62.0,3.0,3643.0,3450000.0,55645.0,0,0,,other,897.5
29,Kollegiegatan 9B,56.0,2.0,2934.0,960000.0,17143.0,0,0,,other,306.12
30,Aspviksvägen 16N,110.0,5.0,5280.0,5287500.0,48068.0,0,0,,other,436.98
31,Hässleberg Stockhult 532,135.0,6.0,0.0,1875000.0,0.0,0,0,,other,0.0
32,"Tollarevägen 49, 4 tr",85.0,3.0,5294.0,5395000.0,63471.0,0,0,,other,746.72
33,Kabelverksgatan 24,52.0,2.0,3307.0,3000000.0,57692.0,0,0,,other,1109.46
34,Ingvarshem 18,147.0,7.0,0.0,4150000.0,0.0,0,0,,other,0.0
35,"Johan Enbergs väg 38B, 4tr",80.5,3.0,4394.0,4740000.0,58882.0,0,0,,other,731.45
36,"Rådmansgatan  46, 4tr",27.0,1.5,2406.0,2750000.0,101852.0,0,0,,other,3772.3
37,Fregattgatan 2A,65.0,3.0,3701.0,3350000.0,51538.0,0,0,,other,792.89
38,Högsätravägen 21,91.3,5.0,5461.0,3795000.0,41566.0,0,0,,other,455.27
39,Frestavägen 36,36.0,1.0,2276.0,1620000.0,45000.0,0,0,,other,1250.0
40,Kaprifolgatan 25,125.0,5.0,0.0,2800000.0,0.0,0,0,,other,0.0
41,Sanduddsvägen 30,153.0,5.0,0.0,8550000.0,0.0,0,0,,other,0.0
42,Sturegatan 1,34.0,1.0,2761.0,2075000.0,61029.0,0,0,,other,1794.97
43,Täppgränd 39,67.0,3.0,2725.0,3125000.0,46642.0,0,0,,other,696.15
44,Haga Östergata 19,66.3,2.5,2893.0,4490000.0,67722.0,0,0,,other,1021.45
45,Högalidsvägen 42C,81.0,3.0,5978.0,1725000.0,21296.0,0,0,,other,262.91
46,Folketshusvägen 7,112.0,4.5,7491.0,3950000.0,35268.0,0,0,,other,314.89
47,Råbyvägen 34,39.0,1.5,2721.0,1595000.0,40897.0,0,0,,other,1048.64
48,Östra Gräsvägen 5,26.0,1.0,1985.0,1800000.0,69231.0,0,0,,other,2662.73
49,"Sturehillsvägen 9, vån 14 / 14",105.0,4.0,5529.0,9600000.0,91429.0,0,0,,other,870.75
50,Luleåvägen 371,89.0,3.0,6070.0,850000.0,9551.0,0,0,,other,107.31
51,Tånvägen 8,195.0,6.0,0.0,6800000.0,0.0,0,0,,other,0.0
52,Andebodavägen 26,103.0,5.0,6701.0,3250000.0,31553.0,0,0,,other,306.34
53,Färgargränd 1,61.0,2.0,4039.0,730000.0,11967.0,0,0,,other,196.18
54,Termikgatan 27A,50.5,2.0,4667.0,1600000.0,31683.0,0,0,,other,627.39
55,Gustav III:s Boulevard 9 Vån 5 / 6,56.0,2.0,3377.0,2750000.0,49107.0,0,0,,other,876.91
56,Utvägen 4E,128.0,5.0,5295.0,4600000.0,35938.0,0,0,,other,280.77
57,Rimbogatan 2 B,109.9,5.0,4000.0,2045000.0,18608.0,0,0,,other,169.32
58,Jakobs väg 33,64.0,2.0,3912.0,430000.0,6719.0,0,0,,other,104.98
59,Götaforsvägen 3,55.0,2.0,4218.0,2700000.0,49091.0,0,0,,other,892.56
60,Ringvägen 131,68.0,3.0,3496.0,6000000.0,88235.0,0,0,,other,1297.57
61,Drabantvägen 11,78.0,3.0,0.0,2650000.0,0.0,0,0,,other,0.0
62,"Bollgatan 2A, 6 tr",34.0,1.0,3058.0,2550000.0,75000.0,0,0,,other,2205.88
63,Flybjärsvägen 206,118.5,4.0,6910.0,1925000.0,16245.0,0,0,,other,137.09
64,Spinnakergatan 1,57.0,2.0,3682.0,2040000.0,35789.0,0,0,,other,627.88
65,Tomtebogatan 34C,73.0,3.0,3329.0,9000000.0,123288.0,0,0,,other,1688.88
66,"Blåklockevägen 10, vån 6.",51.5,2.0,3290.0,2660000.0,51650.0,0,0,,other,1002.91
67,"Alfons Åbergs Gata 1, 3 tr.",84.0,3.0,5170.0,4300000.0,51190.0,0,0,,other,609.4
68,"Sturevägen 1B, 3 / 3tr",76.0,3.0,5211.0,2950000.0,38816.0,0,0,,other,510.74
69,Isopvägen 5,184.0,7.0,0.0,4660000.0,0.0,0,0,,other,0.0
70,Fålhagsleden 103,60.0,2.0,3850.0,1595000.0,26583.0,0,0,,other,443.05
71,Rösten 437,4.0,4.0,0.0,350000.0,0.0,0,0,,other,0.0
72,Hemfosavägen 57,135.0,5.0,0.0,1700000.0,0.0,0,0,,other,0.0
73,Grusvägen 6,112.0,5.0,0.0,2250000.0,0.0,0,0,,other,0.0
74,Lupinstigen 42B,60.5,3.0,3583.0,3050000.0,50413.0,0,0,,other,833.27
75,Grubbevägen 46,160.0,5.0,0.0,6100000.0,0.0,0,0,,other,0.0
76,Månadsvägen 72 1tr,84.5,4.0,5917.0,2130000.0,25207.0,0,0,,other,298.31
77,Verkmästaregatan 7,68.0,2.0,4508.0,1350000.0,19853.0,0,0,,other,291.96
78,Sanatorieskogen 14,35.0,1.5,3384.0,1225000.0,35000.0,0,0,,other,1000.0
79,Aleglo Stenserum 2,110.0,5.0,0.0,1875000.0,0.0,0,0,,other,0.0
80,Vindelgatan 21A,67.0,3.0,4160.0,1580000.0,23582.0,0,0,,other,351.97
81,Körkarlens gata 12,74.3,3.0,5339.0,1450000.0,19515.0,0,0,,other,262.65
82,Trollsjövägen 70,142.0,7.0,0.0,6000000.0,0.0,0,0,,other,0.0
83,Bergshöjden 64,50.5,1.0,3021.0,1495000.0,29604.0,0,0,,other,586.22
84,Hemmings väg 31A,24.7,1.5,2027.0,1995000.0,80769.0,0,0,,other,3270.0
85,Holgersgatan 1B,36.0,1.0,3748.0,935000.0,25972.0,0,0,,other,721.44
86,Fortunagatan 44,64.0,2.0,4218.0,2275000.0,35547.0,0,0,,other,555.42
87,Slipgatan 9,51.0,2.0,2957.0,4700000.0,92157.0,0,0,,other,1807.0
88,Rusthållaregatan 1,106.0,3.0,0.0,2100000.0,0.0,0,0,,other,0.0
89,Länna Hammarby 90,142.5,5.0,0.0,5000000.0,0.0,0,0,,other,0.0
90,Bragegatan 2B,59.1,3.0,3043.0,1701000.0,28782.0,0,0,,other,487.01
91,Vitmårevägen 8,86.0,4.0,0.0,6000000.0,0.0,0,0,,other,0.0
92,Kyrkvärdsvägen 1,64.0,3.0,4153.0,1295000.0,20234.0,0,0,,other,316.16
93,Gransikagatan 15,49.0,2.0,5267.0,950000.0,19388.0,0,0,,other,395.67
94,Artillerigatan 10B,38.9,1.0,2836.0,625000.0,16067.0,0,0,,other,413.03
95,"Mattvägen 3, 2 tr",39.0,1.5,3063.0,2550000.0,65385.0,0,0,,other,1676.54
96,Hensviksvägen 37,68.0,3.0,0.0,3580000.0,0.0,0,0,,other,0.0
97,Timotejvägen 10,44.0,1.0,3622.0,1150000.0,26136.0,0,0,,other,594.0
98,Släggvägen 10,124.0,6.0,0.0,6300000.0,0.0,0,0,,other,0.0
99,Lasarettsgatan 6,61.0,2.0,2440.0,3950000.0,64754.0,0,0,,other,1061.54
100,Ögontröstgatan 1C,52.0,2.0,3143.0,1950000.0,37500.0,0,0,,other,721.15
101,Vasavägen 17,153.0,25.0,0.0,8500000.0,0.0,0,0,,other,0.0
